protocol,dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
strict,nsl_kdd_v2,dnn_5class_cw,2,Probe,0.18288248777389526,False,461,0.0,green,green,green,green
strict,nsl_kdd_v2,dnn_5class_cw,3,R2L,0.8595784306526184,False,43,0.0,green,green,amber,amber
strict,nsl_kdd_v2,dnn_5class_cw,4,U2R,0.02159399911761284,True,1,0.0,amber,green,red,red
strict,nsl_kdd_v2,rf_5class_smote,0,Normal,1.4703896268120076e-05,False,2696,0.0,red,green,green,red
strict,nsl_kdd_v2,rf_5class_smote,1,DoS,1.4703896268120076e-05,False,1838,0.0,red,green,green,red
strict,nsl_kdd_v2,rf_5class_smote,2,Probe,1.4703896268120076e-05,False,466,0.0,red,green,green,red
strict,nsl_kdd_v2,rf_5class_smote,3,R2L,0.7120501755676993,False,37,0.0,green,green,amber,amber
strict,nsl_kdd_v2,rf_5class_smote,4,U2R,1.4703896268120076e-05,True,0,,red,red,red,red
strict,nsl_kdd_v2,xgb_5class_smote,0,Normal,2.6226043701171875e-06,False,2696,0.0,red,green,green,red
strict,nsl_kdd_v2,xgb_5class_smote,1,DoS,2.6226043701171875e-06,False,1836,0.0,red,green,green,red
strict,nsl_kdd_v2,xgb_5class_smote,2,Probe,2.6226043701171875e-06,False,466,0.0,red,green,green,red
strict,nsl_kdd_v2,xgb_5class_smote,3,R2L,0.025644950568675995,False,39,0.02564102564102564,amber,green,amber,amber
strict,nsl_kdd_v2,xgb_5class_smote,4,U2R,2.6226043701171875e-06,True,0,,red,red,red,red
strict,nsl_kdd_v2,dnn_5class_smote,0,Normal,0.00010460615158081055,False,2696,0.001112759643916914,red,green,green,red
strict,nsl_kdd_v2,dnn_5class_smote,1,DoS,0.00010406970977783203,False,1839,0.000543773790103317,red,green,green,red
strict,nsl_kdd_v2,dnn_5class_smote,2,Probe,0.008349001407623291,False,464,0.0,amber,green,green,amber
strict,nsl_kdd_v2,dnn_5class_smote,3,R2L,0.9333398342132568,False,37,0.0,green,green,amber,amber
strict,nsl_kdd_v2,dnn_5class_smote,4,U2R,0.0044321417808532715,True,1,0.0,amber,green,red,red
strict,unsw_nb15_v2,rf_5class_cw,0,Normal,0.508852118727751,False,2178,0.0009182736455463728,green,green,green,green
strict,unsw_nb15_v2,rf_5class_cw,1,DoS,0.804796172841667,True,16,0.0625,green,amber,red,red
strict,unsw_nb15_v2,rf_5class_cw,2,Probe,0.5803534129233457,False,339,0.011799410029498525,green,green,green,green
strict,unsw_nb15_v2,rf_5class_cw,3,R2L,0.89307657822119,False,2830,0.009187279151943463,green,green,green,green
strict,unsw_nb15_v2,rf_5class_cw,4,U2R,0.9780305604999536,False,52,0.09615384615384616,amber,amber,amber,amber
strict,unsw_nb15_v2,xgb_5class_cw,0,Normal,0.49233824014663696,False,2138,0.0004677268475210477,green,green,green,green
