dataset,model,calibrator,target_risk,per_class_thresholds,coverage,achieved_risk,risk_met,thr_Normal,thr_DoS,thr_Probe,thr_R2L,thr_U2R,cov_Normal,cov_DoS,cov_Probe,cov_R2L,cov_U2R,risk_Normal,risk_DoS,risk_Probe,risk_R2L,risk_U2R
nsl_kdd_v2,rf_5class_cw,cctl,0.05,False,0.9497427253371186,0.22936808182709822,False,0.40000021,0.40000021,0.40000021,0.40000021,0.40000021,0.9267377170051612,0.9931938063637911,1.0,1.0,1.0,0.3174453927383191,0.03923248243960939,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl,0.1,True,0.9458392476933996,0.2269849458331379,False,0.40000021,0.6052630226315789,0.7857140149999999,0.49999998,0.40000021,0.9267377170051612,0.9930236515228859,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.03923920493488691,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl,0.1,False,0.9497427253371186,0.22936808182709822,False,0.40000021,0.40000021,0.40000021,0.40000021,0.40000021,0.9267377170051612,0.9931938063637911,1.0,1.0,1.0,0.3174453927383191,0.03923248243960939,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,0.02,True,0.9458392476933996,0.2269849458331379,False,0.40000021,0.6052630226315789,0.7857140149999999,0.49999998,0.40000021,0.9267377170051612,0.9930236515228859,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.03923920493488691,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,0.02,False,0.9497427253371186,0.22936808182709822,False,0.40000021,0.40000021,0.40000021,0.40000021,0.40000021,0.9267377170051612,0.9931938063637911,1.0,1.0,1.0,0.3174453927383191,0.03923248243960939,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,0.05,True,0.9458392476933996,0.2269849458331379,False,0.40000021,0.6052630226315789,0.7857140149999999,0.49999998,0.40000021,0.9267377170051612,0.9930236515228859,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.03923920493488691,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,0.05,False,0.9497427253371186,0.22936808182709822,False,0.40000021,0.40000021,0.40000021,0.40000021,0.40000021,0.9267377170051612,0.9931938063637911,1.0,1.0,1.0,0.3174453927383191,0.03923248243960939,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,0.1,True,0.9458392476933996,0.2269849458331379,False,0.40000021,0.6052630226315789,0.7857140149999999,0.49999998,0.40000021,0.9267377170051612,0.9930236515228859,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.03923920493488691,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl_shrunk,0.1,False,0.9497427253371186,0.22936808182709822,False,0.40000021,0.40000021,0.40000021,0.40000021,0.40000021,0.9267377170051612,0.9931938063637911,1.0,1.0,1.0,0.3174453927383191,0.03923248243960939,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,dirichlet,0.02,True,0.9586142654364798,0.2249780204525473,False,0.5928413310760713,0.6289001636407934,0.5757564426686532,0.9407509084902943,0.5757564426686532,0.9633361321018752,0.9727956473035686,0.9492911668484187,0.08666666666666667,0.5263157894736842,0.3170395119116793,0.03767066951801283,0.15163699023549684,0.0,0.4
